,loss,accuracy,val_loss,val_accuracy,lr
1,0.5396749377250671,0.7225765585899353,0.5084782838821411,0.7473219037055969,0.0010000000474974513
2,0.5108645558357239,0.7450937628746033,0.49815747141838074,0.7536437511444092,0.0010000000474974513
3,0.501164972782135,0.7517101764678955,0.4954740107059479,0.7562124729156494,0.0010000000474974513
4,0.49592164158821106,0.7553039193153381,0.49021783471107483,0.7581687569618225,0.0010000000474974513
5,0.4920715391635895,0.7576265335083008,0.49020054936408997,0.7596562504768372,0.0010000000474974513
6,0.48885777592658997,0.7596554756164551,0.48885029554367065,0.7591562271118164,0.0010000000474974513
7,0.4862876534461975,0.7615765333175659,0.48757773637771606,0.7594062685966492,0.0010000000474974513
8,0.48440343141555786,0.7626156210899353,0.4863314926624298,0.7610124945640564,0.0010000000474974513
9,0.48258301615715027,0.7640241980552673,0.4872540533542633,0.7609687447547913,0.0010000000474974513
10,0.4810599684715271,0.7650304436683655,0.484834223985672,0.762024998664856,0.0010000000474974513
